CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
ABARTH,500E  ,BLU,2025,1
ABARTH,500E  ,GRN,2025,3
AION  ,AION V,BLK,2026,1
AION  ,UT    ,SIL,2026,1
AION  ,UT    ,WHI,2026,2
AION  ,V     ,BLK,2026,1
AION  ,V     ,GLD,2026,5
AION  ,V     ,GRY,2025,1
AION  ,V     ,GRY,2026,1
AION  ,V     ,SIL,2026,2
AION  ,V     ,WHI,2026,5
AJP   ,PR7   ,WHI,2025,1
AJP   ,PR7   ,WHI,2026,5
ALFA R,GIULIA,BLK,2025,2
ALFA R,GIULIA,GRN,2026,1
ALFA R,GIULIA,WHI,2025,1
ALFA R,JUNIOR,GRY,2025,1
ALFA R,JUNIOR,WHI,2025,1
ALFA R,STELVI,BLK,2025,1
ALFA R,STELVI,RED,2025,1
ALFA R,STELVI,WHI,2025,2
ALFA R,TONALE,WHI,2025,2
ANTONI,ERGIT ,RED,2026,1
APRILI,RS660 ,BLU,2026,1
APRILI,RS660F,BLU,2026,1
APRILI,RS660F,YLW,2026,1
APRILI,TUAREG,BLK,2026,1
APRILI,TUR660,BLK,2026,1
ASTON ,DBX 70,BLK,2025,1
ASV   ,RT-135,YLW,2026,1
ASV   ,RT40  ,YLW,2026,1
AUDI  ,A3    ,BLK,2026,7
AUDI  ,A3    ,BLU,2026,1
AUDI  ,A3    ,GRN,2026,1
AUDI  ,A3    ,GRY,2026,1
AUDI  ,A3    ,RED,2026,1
AUDI  ,A3    ,WHI,2025,1
AUDI  ,A3    ,WHI,2026,1
AUDI  ,A3 SPO,BLK,2026,1
AUDI  ,A5    ,BLK,2025,6
AUDI  ,A5    ,BLK,2026,3
AUDI  ,A5    ,BLU,2025,1
AUDI  ,A5    ,BLU,2026,1
AUDI  ,A5    ,GRY,2025,3
AUDI  ,A5    ,GRY,2026,2
AUDI  ,A5    ,WHI,2025,1
AUDI  ,A5    ,WHI,2026,2
AUDI  ,A5 AVA,BLK,2025,1
AUDI  ,A5 AVA,BLK,2026,1
AUDI  ,A5 AVA,GRY,2026,1
AUDI  ,A5 HYB,GRY,2025,1
AUDI  ,Q2    ,BLK,2026,2
AUDI  ,Q2    ,GRY,2026,3
AUDI  ,Q3    ,BLK,2026,6
AUDI  ,Q3    ,GRY,2025,3
AUDI  ,Q3    ,GRY,2026,2
AUDI  ,Q3    ,WHI,2025,1
AUDI  ,Q3    ,WHI,2026,3
AUDI  ,Q3 SPO,BLK,2025,1
AUDI  ,Q4    ,BLK,2026,8
AUDI  ,Q4    ,BLU,2026,1
