CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL,CLEAN_MAKE_VEH
ABARTH,500E  ,BLU,2025,1,ABARTH
ABARTH,500E  ,GRN,2025,3,ABARTH
AION  ,AION V,BLK,2026,1,AION
AION  ,UT    ,SIL,2026,1,AION
AION  ,UT    ,WHI,2026,2,AION
AION  ,V     ,BLK,2026,1,AION
AION  ,V     ,GLD,2026,5,AION
AION  ,V     ,GRY,2025,1,AION
AION  ,V     ,GRY,2026,1,AION
AION  ,V     ,SIL,2026,2,AION
AION  ,V     ,WHI,2026,5,AION
AJP   ,PR7   ,WHI,2025,1,AJP
AJP   ,PR7   ,WHI,2026,5,AJP
ALFA R,GIULIA,BLK,2025,2,ALFA ROMEO
ALFA R,GIULIA,GRN,2026,1,ALFA ROMEO
ALFA R,GIULIA,WHI,2025,1,ALFA ROMEO
ALFA R,JUNIOR,GRY,2025,1,ALFA ROMEO
ALFA R,JUNIOR,WHI,2025,1,ALFA ROMEO
ALFA R,STELVI,BLK,2025,1,ALFA ROMEO
ALFA R,STELVI,RED,2025,1,ALFA ROMEO
ALFA R,STELVI,WHI,2025,2,ALFA ROMEO
ALFA R,TONALE,WHI,2025,2,ALFA ROMEO
ANTONI,ERGIT ,RED,2026,1,ANTONIO CARRARO
APRILI,RS660 ,BLU,2026,1,APRILIA
APRILI,RS660F,BLU,2026,1,APRILIA
APRILI,RS660F,YLW,2026,1,APRILIA
APRILI,TUAREG,BLK,2026,1,APRILIA
APRILI,TUR660,BLK,2026,1,APRILIA
ASTON ,DBX 70,BLK,2025,1,ASTON MARTIN
ASV   ,RT-135,YLW,2026,1,ASV
ASV   ,RT40  ,YLW,2026,1,ASV
AUDI  ,A3    ,BLK,2026,7,AUDI
AUDI  ,A3    ,BLU,2026,1,AUDI
AUDI  ,A3    ,GRN,2026,1,AUDI
AUDI  ,A3    ,GRY,2026,1,AUDI
AUDI  ,A3    ,RED,2026,1,AUDI
AUDI  ,A3    ,WHI,2025,1,AUDI
AUDI  ,A3    ,WHI,2026,1,AUDI
AUDI  ,A3 SPO,BLK,2026,1,AUDI
AUDI  ,A5    ,BLK,2025,6,AUDI
AUDI  ,A5    ,BLK,2026,3,AUDI
AUDI  ,A5    ,BLU,2025,1,AUDI
AUDI  ,A5    ,BLU,2026,1,AUDI
AUDI  ,A5    ,GRY,2025,3,AUDI
AUDI  ,A5    ,GRY,2026,2,AUDI
AUDI  ,A5    ,WHI,2025,1,AUDI
AUDI  ,A5    ,WHI,2026,2,AUDI
AUDI  ,A5 AVA,BLK,2025,1,AUDI
AUDI  ,A5 AVA,BLK,2026,1,AUDI
AUDI  ,A5 AVA,GRY,2026,1,AUDI
AUDI  ,A5 HYB,GRY,2025,1,AUDI
AUDI  ,Q2    ,BLK,2026,2,AUDI
AUDI  ,Q2    ,GRY,2026,3,AUDI
AUDI  ,Q3    ,BLK,2026,6,AUDI
AUDI  ,Q3    ,GRY,2025,3,AUDI
AUDI  ,Q3    ,GRY,2026,2,AUDI
AUDI  ,Q3    ,WHI,2025,1,AUDI
AUDI  ,Q3    ,WHI,2026,3,AUDI
AUDI  ,Q3 SPO,BLK,2025,1,AUDI
AUDI  ,Q4    ,BLK,2026,8,AUDI
AUDI  ,Q4    ,BLU,2026,1,AUDI
AUDI  ,Q4    ,GRY,2026,3,AUDI
AUDI  ,Q4    ,WHI,2025,1,AUDI
AUDI  ,Q4    ,WHI,2026,4,AUDI
AUDI  ,Q4 ETR,BLK,2026,2,AUDI
AUDI  ,Q4 ETR,BLU,2026,2,AUDI
AUDI  ,Q4 ETR,GRY,2026,1,AUDI
AUDI  ,Q4 ETR,WHI,2026,1,AUDI
AUDI  ,Q4ETRO,WHI,2026,1,AUDI
AUDI  ,Q5    ,BLK,2026,12,AUDI
AUDI  ,Q5    ,BLU,2026,2,AUDI
AUDI  ,Q5    ,GRN,2026,1,AUDI
AUDI  ,Q5    ,GRY,2025,3,AUDI
AUDI  ,Q5    ,GRY,2026,21,AUDI
AUDI  ,Q5    ,RED,2026,1,AUDI
AUDI  ,Q5    ,WHI,2025,1,AUDI
AUDI  ,Q5    ,WHI,2026,9,AUDI
AUDI  ,Q6    ,BLK,2025,2,AUDI
AUDI  ,Q6    ,BLK,2026,3,AUDI
AUDI  ,Q6    ,GRY,2025,2,AUDI
AUDI  ,Q6    ,GRY,2026,7,AUDI
AUDI  ,Q6    ,WHI,2025,1,AUDI
AUDI  ,Q6    ,WHI,2026,4,AUDI
AUDI  ,Q6 E-T,GRY,2026,1,AUDI
AUDI  ,Q6 ETR,GRY,2026,1,AUDI
AUDI  ,Q6E-TR,WHI,2025,1,AUDI
AUDI  ,Q7    ,BLK,2026,5,AUDI
AUDI  ,Q7    ,GRY,2026,5,AUDI
AUDI  ,Q7    ,WHI,2026,2,AUDI
AUDI  ,Q8    ,BLK,2026,1,AUDI
AUDI  ,Q8    ,BLU,2026,1,AUDI
AUDI  ,R7 SPO,BLK,2025,1,AUDI
AUDI  ,RS Q8 ,BLK,2026,1,AUDI
AUDI  ,RS3   ,BLK,2025,2,AUDI
AUDI  ,RS3   ,BLK,2026,4,AUDI
AUDI  ,RS3   ,GRN,2025,1,AUDI
AUDI  ,RS3   ,GRN,2026,1,AUDI
AUDI  ,RS3   ,GRY,2025,3,AUDI
AUDI  ,RS3   ,GRY,2026,4,AUDI
AUDI  ,RS3   ,RED,2025,1,AUDI
AUDI  ,RS3   ,WHI,2025,1,AUDI
AUDI  ,RSQ8  ,BLK,2025,1,AUDI
AUDI  ,RSQ8  ,BLK,2026,2,AUDI
AUDI  ,RSQ8  ,GRY,2026,1,AUDI
AUDI  ,S3    ,BLK,2026,7,AUDI
AUDI  ,S3    ,BLU,2026,3,AUDI
AUDI  ,S3    ,GRY,2025,1,AUDI
AUDI  ,S3    ,GRY,2026,5,AUDI
AUDI  ,S3    ,WHI,2026,2,AUDI
AUDI  ,S5    ,BLK,2026,6,AUDI
AUDI  ,S5    ,GRY,2025,1,AUDI
AUDI  ,S5    ,GRY,2026,5,AUDI
AUDI  ,S5 AVA,GRY,2026,1,AUDI
AUDI  ,SQ5   ,BLK,2026,8,AUDI
AUDI  ,SQ5   ,BLU,2026,1,AUDI
AUDI  ,SQ5   ,GRY,2025,2,AUDI
AUDI  ,SQ5   ,GRY,2026,4,AUDI
AUDI  ,SQ5   ,WHI,2026,7,AUDI
AUDI  ,SQ6   ,BLK,2025,1,AUDI
AUDI  ,SQ6   ,GRY,2025,1,AUDI
AUDI  ,SQ6 ET,BLK,2026,1,AUDI
AUDI  ,SQ7   ,WHI,2026,1,AUDI
AUSA  ,C351HX,RED,2026,1,AUSA
AVANT ,860I  ,GRN,2025,1,AVANT
AVANT ,860I  ,GRN,2026,1,AVANT
B C I ,PK6127,WHI,2026,1,BCI
B M W ,1 SERI,GRY,2025,1,BMW
B M W ,118   ,BLK,2025,1,BMW
B M W ,118   ,GRY,2025,2,BMW
B M W ,118   ,PUR,2025,1,BMW
B M W ,118   ,WHI,2025,1,BMW
B M W ,118 HA,BLK,2025,1,BMW
B M W ,118 HA,WHI,2025,1,BMW
B M W ,118I  ,BLK,2025,2,BMW
B M W ,118I  ,BLU,2025,1,BMW
B M W ,118I  ,BLU,2026,1,BMW
B M W ,118I  ,PUR,2025,2,BMW
B M W ,120   ,BLK,2025,3,BMW
B M W ,120   ,BLK,2026,3,BMW
B M W ,120   ,GRY,2026,1,BMW
B M W ,120   ,WHI,2025,1,BMW
B M W ,120 HA,GRY,2026,1,BMW
B M W ,1X1   ,WHI,2025,1,BMW
B M W ,1X2   ,WHI,2025,1,BMW
B M W ,218   ,BLK,2025,1,BMW
B M W ,218   ,BLU,2025,1,BMW
B M W ,218 GR,BLK,2025,1,BMW
B M W ,218I  ,GRY,2025,1,BMW
B M W ,220   ,BLK,2025,1,BMW
B M W ,220   ,GRY,2026,5,BMW
B M W ,220I  ,BLK,2026,2,BMW
B M W ,230I  ,BLK,2025,2,BMW
B M W ,230I  ,BLK,2026,1,BMW
B M W ,230I  ,BLU,2026,1,BMW
B M W ,230I  ,GRY,2025,1,BMW
B M W ,230I  ,GRY,2026,2,BMW
B M W ,230I  ,RED,2026,1,BMW
B M W ,330   ,BLU,2026,1,BMW
B M W ,330   ,GRY,2026,1,BMW
B M W ,330I  ,BLK,2025,1,BMW
B M W ,330I  ,BLK,2026,9,BMW
B M W ,330I  ,BLU,2026,3,BMW
B M W ,330I  ,GRY,2026,5,BMW
B M W ,330I  ,RED,2026,1,BMW
B M W ,330I  ,WHI,2026,6,BMW
B M W ,330I T,GRY,2025,1,BMW
B M W ,420I  ,BLK,2026,1,BMW
B M W ,420I  ,WHI,2026,1,BMW
B M W ,420I C,RED,2025,1,BMW
B M W ,430I  ,BLK,2025,2,BMW
B M W ,430I  ,BLU,2025,1,BMW
B M W ,430I  ,GRY,2025,1,BMW
B M W ,430I  ,WHI,2025,2,BMW
B M W ,520I  ,BLK,2026,1,BMW
B M W ,520I S,GRY,2025,1,BMW
